"id","fdcId","nameRu","nameEn","wfpbStatus","createdAt","calories","protein","fat","carbohydrates","water","fiber","sugarTotal","sucrose","glucose","fructose","lactose","maltose","saturatedFat","monounsaturatedFat","polyunsaturatedFat","transFat","cholesterol","omega3","omega6","calcium","iron","magnesium","phosphorus","potassium","sodium","zinc","copper","manganese","selenium","vitaminC","thiamin","riboflavin","niacin","pantothenicAcid","vitaminB6","biotin","folate","vitaminB12","vitaminA","vitaminD","vitaminE","vitaminK","lysine","methionine","alanine","arginine","asparticAcid","betaCarotene","cystine","glutamicAcid","glycine","histidine","iodine","isoleucine","leucine","omega9","phenylalanine","proline","retinol","serine","threonine","tryptophan","tyrosine","valine","vitaminD2","vitaminD3"
"cms1h5lie000bun7lbt68g2yr","2685576","свекла","beets, raw","green","2026-07-26 07:26:36.327","44.6205","1.6875","0.3025","8.787","88.16","3.119","5.1015","4.289","0.305","0.5075","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.82","0.4281","21.01","33.65","341.5","111.6","0.3104","0.1606","0.2571","0.0","4.6","0.0","0.0","0.0","0.0","0.0","0.0","103.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1h5mcq000cun7l4t6kxwb1","2727585","зелёный лук","Onions, green, raw","green","2026-07-26 07:26:37.418","0.0","0.66875","0.0","0.0","91.67","2.3","2.618","0.2375","0.985","1.333","0.03125","0.03125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","59.44","1.044","18.94","27.86","232.0","9.948","0.2484","0.03499","0.2713","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1h5ne8000dun7l962y0k01","169998","кукуруза","Corn, sweet, yellow, raw","green","2026-07-26 07:26:38.768","86.0","3.27","1.35","18.7","76.05","2.0","6.26","0.89","3.43","1.94","0.0","0.0","0.325","0.432","0.487","0.0","0.0","0.015","0.959","2.0","0.52","37.0","89.0","270.0","15.0","0.46","0.054","0.163","0.6","6.8","0.155","0.055","1.77","0.717","0.093","0.0","42.0","0.0","9.0","0.0","0.07","0.3","0.137","0.067","0.295","0.131","0.244","47.0","0.026","0.636","0.127","0.089","0.6","0.129","0.348","0.0","0.15","0.292","0.0","0.153","0.129","0.023","0.123","0.185","0.0","0.0"
"cms1h6ydm000eun7l04xi8ds4","169387","светло-красная рукола","arugula, raw","forbidden","2026-07-26 07:27:39.658","25.0","2.58","0.66","3.65","91.71","1.6","2.05","0.0","0.0","0.0","0.0","0.0","0.086","0.049","0.319","0.0","0.0","0.002","0.43200000000000005","160.0","1.46","47.0","52.0","369.0","27.0","0.47","0.076","0.321","0.3","15.0","0.044","0.086","0.305","0.437","0.073","0.0","97.0","0.0","119.0","0.0","0.43","108.6","0.0","0.0","0.0","0.0","0.0","1424.0","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1h6yg8000fun7l35u0geeg","169249","салат листья","lettuce, green leaf, raw","green","2026-07-26 07:27:39.753","15.0","1.36","0.15","2.87","94.98","1.3","0.78","0.0","0.36","0.43","0.0","0.0","0.02","0.006","0.082","0.0","0.0","0.0","0.10600000000000001","36.0","0.86","13.0","29.0","194.0","28.0","0.18","0.029","0.25","0.6","9.2","0.07","0.08","0.375","0.134","0.09","0.0","38.0","0.0","370.0","0.0","0.22","126.3","0.084","0.016","0.056","0.071","0.142","4443.0","0.016","0.182","0.057","0.022","0.6","0.084","0.079","0.0","0.055","0.048","0.0","0.039","0.059","0.009","0.032","0.07","0.0","0.0"
"cms1h708u000gun7ln2mf0ujt","170427","сладкий перец","Peppers, sweet, raw","green","2026-07-26 07:27:42.079","20.0","0.86","0.17","4.64","93.89","1.7","2.4","0.11","1.16","1.12","0.0","0.0","0.058","0.008","0.062","0.0","0.0","0.0","0.11599999999999999","10.0","0.34","10.0","20.0","175.0","3.0","0.13","0.066","0.122","0.0","80.4","0.057","0.028","0.48","0.099","0.224","0.0","10.0","0.0","18.0","0.0","0.37","7.4","0.039","0.007","0.036","0.027","0.208","208.0","0.012","0.194","0.03","0.01","0.0","0.024","0.036","0.0","0.092","0.024","0.0","0.054","0.036","0.012","0.012","0.036","0.0","0.0"
"cms1h7ck7000hun7lo3egfa8r","2768190","сыр","cheese, raw","forbidden","2026-07-26 07:27:58.039","69.0","1.5","0.1","17.6","79.9","5.3","8.55","0.05","4.5","3.8","0.0","0.2","0.014","0.0","0.0","0.0","0.0","0.0","0.0","8.0","1.61","24.0","47.0","304.0","20.0","0.31","0.057","0.182","0.0","54.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1hnna5000iun7lah6erog2","746784","сахар","sugars, granulated","forbidden","2026-07-26 07:40:38.43","385.0","0.0","0.32","99.6","0.02","0.0","99.8","99.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.05","0.3","0.0","2.0","1.0","0.01","0.007","0.004","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1hnnro000jun7l6r1uqtq7","2346410","малина","raspberries, raw","green","2026-07-26 07:40:39.061","57.3375","1.008125","0.1875","12.904375","85.55","0.0","2.6759","0.0","0.9919","1.684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.41","0.4501","19.15","27.47","155.8","0.0","0.2213","0.05289","0.4935","0.0","23.04","0.0","0.0","0.0","0.0","0.0","3.433","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"cms1hnoix000kun7ls212atcq","173946","ежевика","Berries, blackberry, raw","green","2026-07-26 07:40:40.041","43.0","1.39","0.49","9.61","88.2","5.3","4.88","0.07","2.31","2.4","0.0","0.07","0.014","0.047","0.28","0.0","0.0","0.0","0.28","29.0","0.62","20.0","22.0","162.0","1.0","0.53","0.165","0.646","0.4","21.0","0.02","0.026","0.646","0.276","0.03","0.0","25.0","0.0","11.0","0.0","1.17","19.8","0.0","0.0","0.0","0.0","0.0","128.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
